Feedback date and time,Feedback from (company name),Company main industry,User type,Related feature,Feedback content
1/11/2024 16:43:35,Dream Estates Solutions,Custom built houses,Manager,Calls,I can't update contact profile information during a call
4/11/2022 8:07:08,Quantum Realty Ventures,Real estate buyer and seller,User,Contacts,I would like to know how to sort the items on the customer information page
5/30/2022 8:04:06,Sapphire Horizon Properties,Real estate buyer,Manager,Emails, It is troublesome to copy email addresses on the prohibited list and search them in the customer information list.
10/5/2022 8:39:02,Prestige Haven Realty,Real estate seller,Manager,Web tracking,It would be nice to be able to sort by the number of web views
3/5/2023 8:52:39,Harmony Homes Network,Other than real estate,Manager,Contacts,When communication with a contact it's cumbersome to have to scroll to find a specific information
11/27/2023 8:51:15,Summit Crest Estates,Real estate buyer and seller,Manager,Contacts, I would like to be able to register multiple email addresses on the customer profile screen.
2/17/2022 8:28:39,Luxe Lifestyles Realty,Real estate buyer and seller,User,SMS, I would like to be able to use custom fields in SMS placeholder fields.
9/14/2022 8:33:56,TerraVista Realty Group,Real estate buyer and seller,User,Mobile app, I want to make RealView easier to operate when I go out.
7/14/2023 8:11:06,Urban Pinnacle Properties,Real estate buyer and seller,User,Mobile app, I want to notice and reply to SMS replies from RealView in real time from my mobile phone.
7/26/2023 8:10:04,Majestic Oak Realty,Real estate buyer,Manager,Schedule management, I want to be able to enter events into a schedule and share it with other users
10/7/2022 8:44:32,Horizon Heights Estates,Custom built houses,Manager,Schedule management, I also want to use RealView to manage my schedule.
2/10/2022 8:07:22,PrimeVue Real Estate,Custom built houses,User,Contacts, I want the ability to print customer information displayed in RealView's contact profile pages.
6/12/2022 8:40:03,Infinity Meadows Realty,Custom built houses,User,Sale automation,I want to easily understand which Sale automation is currently running.
10/16/2023 8:59:01,VivaCity Homes,Custom built houses,User,Mobile app, I want to check RealView even when I go out.
12/13/2023 8:13:27,Golden Gate Realty Concepts,Custom built houses,User,Emails, I want to be able to check the delivery status of an email
12/24/2023 8:34:35,Serenity Springs Properties,Custom built houses,User,Emails,I would like to be able to search for emails in the mailbox list.
3/18/2023 8:45:19,Quantum Gate Estates,Custom built houses,Manager,Mobile app,When I receive a notification such as a reply while on the move I want to respond immediately on the spot.
8/3/2023 8:40:08,Crown Castle Realty,Other than real estate,Manager,Mobile app, I want to make the RealView easier to view on my mobile phone. I want to make it easier to operate.
7/25/2022 8:12:05,Oasis Edge Properties,Real estate buyer and seller,User,Mobile app, Hard to see on smartphone
9/29/2023 8:24:03,Haven Harmony Realty,Other than real estate,User,Mobile app,I often miss important notification because I am often out and can't check the RealView webapp
